School,Tier,Type,Service Area,Year Built,Bond 2026 Allocation,FCI,Street Address,City,State,Zip,Full Address,Latitude,Longitude,Coord Notes
Adams Elementary,Tier 3,Elementary,Central,1963,1000000,26.60%,2101 Manitoba Dr,Colorado Springs,CO,80910,"2101 Manitoba Dr, Colorado Springs, CO 80910",38.821869,-104.789989,
Audubon Elementary,Tier 2,Elementary,Central,1956,2000000,41.90%,2400 E Van Buren St,Colorado Springs,CO,80909,"2400 E Van Buren St, Colorado Springs, CO 80909",38.860000,-104.789000,Approximate — verify before plotting (Census geocoder no-match)
Bristol Elementary,Tier 1,Elementary,West,1971,7000000,21.30%,890 N Walnut St,Colorado Springs,CO,80905,"890 N Walnut St, Colorado Springs, CO 80905",38.845944,-104.833625,
Buena Vista Montessori,Tier 2,Elementary,Citywide,1956,3000000,36.40%,924 W Pikes Peak Ave,Colorado Springs,CO,80905,"924 W Pikes Peak Ave, Colorado Springs, CO 80905",38.835324,-104.839691,
Carver Elementary,Tier 3,Elementary,Northeast,1971,1000000,32.60%,4740 Artistic Cir,Colorado Springs,CO,80917,"4740 Artistic Cir, Colorado Springs, CO 80917",38.888602,-104.740784,
Chipeta Elementary,Tier 2,Elementary,West,1987,3000000,30.20%,2340 Ramsgate Ter,Colorado Springs,CO,80919,"2340 Ramsgate Ter, Colorado Springs, CO 80919",38.906489,-104.869945,
Columbia Elementary,Tier 2,Elementary,Central,1969,3000000,29.30%,835 E St Vrain St,Colorado Springs,CO,80903,"835 E St Vrain St, Colorado Springs, CO 80903",38.840415,-104.809483,
Edison Elementary,Tier 2,Elementary,West,1956,2000000,—,3125 N Hancock Ave,Colorado Springs,CO,80907,"3125 N Hancock Ave, Colorado Springs, CO 80907",38.877495,-104.803355,
Freedom Elementary,Tier 3,Elementary,Northeast,2007,1000000,20.50%,5280 Butterfield Dr,Colorado Springs,CO,80923,"5280 Butterfield Dr, Colorado Springs, CO 80923",38.936186,-104.731005,
Fremont Elementary,Tier 3,Elementary,Northeast,1973,1000000,34.30%,5110 El Camino Dr,Colorado Springs,CO,80918,"5110 El Camino Dr, Colorado Springs, CO 80918",38.906276,-104.770549,
Grant Elementary,Tier 2,Elementary,Southeast,1966,2000000,25.10%,3215 Westwood Blvd,Colorado Springs,CO,80918,"3215 Westwood Blvd, Colorado Springs, CO 80918",38.896781,-104.767929,
Henry Elementary,Tier 1,Elementary,Southeast,1971,7000000,35.80%,1310 Lehmberg Blvd,Colorado Springs,CO,80915,"1310 Lehmberg Blvd, Colorado Springs, CO 80915",38.851924,-104.732207,
Howbert Elementary,Tier 2,Elementary,West,1959,2000000,41.50%,1023 N 31st St,Colorado Springs,CO,80904,"1023 N 31st St, Colorado Springs, CO 80904",38.853300,-104.872200,Approximate — verify before plotting (Census geocoder no-match)
Jackson Elementary,Tier 3,Elementary,West,1966,1000000,30.40%,4340 Edwinstowe Ave,Colorado Springs,CO,80907,"4340 Edwinstowe Ave, Colorado Springs, CO 80907",38.892334,-104.838721,
Keller Elementary,Tier 2,Elementary,Northeast,1971,3000000,29.40%,3730 E Montebello Dr,Colorado Springs,CO,80918,"3730 E Montebello Dr, Colorado Springs, CO 80918",38.905205,-104.757938,
King Elementary,Tier 2,Elementary,Northeast,1984,2000000,25.60%,6110 Sapporo Dr,Colorado Springs,CO,80918,"6110 Sapporo Dr, Colorado Springs, CO 80918",38.920339,-104.769342,
Madison Elementary,Tier 2,Elementary,Southeast,1964,3000000,33.10%,4120 Constitution Ave,Colorado Springs,CO,80909,"4120 Constitution Ave, Colorado Springs, CO 80909",38.861586,-104.749837,
Martinez Elementary,Tier 2,Elementary,Northeast,1988,3000000,30.00%,6460 Vickers Dr,Colorado Springs,CO,80918,"6460 Vickers Dr, Colorado Springs, CO 80918",38.922910,-104.748539,
McAuliffe Elementary,Tier 2,Elementary,Southeast,2007,3000000,18.70%,830 Hathaway Dr,Colorado Springs,CO,80915,"830 Hathaway Dr, Colorado Springs, CO 80915",38.843428,-104.708401,
Midland Elementary,Tier 2,Elementary,West,1956,3000000,32.30%,2110 Broadway St,Colorado Springs,CO,80904,"2110 Broadway St, Colorado Springs, CO 80904",38.837371,-104.860181,
Monroe Elementary,Tier 3,Elementary,Southeast,1964,1000000,34.00%,15 S Chelton Rd,Colorado Springs,CO,80910,"15 S Chelton Rd, Colorado Springs, CO 80910",38.831113,-104.766242,
Penrose Elementary,Tier 2,Elementary,Southeast,1973,2000000,31.10%,4285 S Nonchalant Cir,Colorado Springs,CO,80917,"4285 S Nonchalant Cir, Colorado Springs, CO 80917",38.879314,-104.747103,
Queen Palmer Elementary,Tier 3,Elementary,Central,1948,1000000,36.60%,1921 E Yampa St,Colorado Springs,CO,80909,"1921 E Yampa St, Colorado Springs, CO 80909",38.846204,-104.792643,
Rogers Elementary,Tier 2,Elementary,Central,1960,2000000,46.80%,110 S Circle Dr,Colorado Springs,CO,80910,"110 S Circle Dr, Colorado Springs, CO 80910",38.829609,-104.775948,
Rudy Elementary,Tier 1,Elementary,Northeast,1978,7000000,31.30%,5370 Cracker Barrel Cir,Colorado Springs,CO,80917,"5370 Cracker Barrel Cir, Colorado Springs, CO 80917",38.892557,-104.727765,
Scott Elementary,Tier 2,Elementary,Northeast,1998,2000000,29.70%,6175 Whetstone Dr,Colorado Springs,CO,80923,"6175 Whetstone Dr, Colorado Springs, CO 80923",38.922739,-104.736367,
Steele Elementary,Tier 1,Elementary,Central,1953,7000000,34.20%,1720 N Weber St,Colorado Springs,CO,80907,"1720 N Weber St, Colorado Springs, CO 80907",38.857998,-104.818663,
Stratton Elementary,Tier 2,Elementary,Central,1953,3000000,34.80%,2460 Paseo Rd,Colorado Springs,CO,80907,"2460 Paseo Rd, Colorado Springs, CO 80907",38.865747,-104.803007,
Taylor Elementary,Tier 3,Elementary,Central,1953,1000000,39.20%,900 E Buena Ventura St,Colorado Springs,CO,80907,"900 E Buena Ventura St, Colorado Springs, CO 80907",38.854603,-104.809106,
Trailblazer Elementary,Tier 3,Elementary,West,1998,1000000,35.60%,2015 Wickes Rd,Colorado Springs,CO,80919,"2015 Wickes Rd, Colorado Springs, CO 80919",38.920202,-104.865717,
Twain Elementary,Tier 3,Elementary,Southeast,1962,1000000,36.10%,3402 E San Miguel St,Colorado Springs,CO,80909,"3402 E San Miguel St, Colorado Springs, CO 80909",38.850482,-104.767500,
Wilson Elementary,Tier 3,Elementary,Southeast,1969,1000000,32.90%,1409 De Reamer Cir,Colorado Springs,CO,80915,"1409 De Reamer Cir, Colorado Springs, CO 80915",38.852542,-104.746731,
Galileo Middle,Tier 1,Middle,Southeast,1954,7000000,35.60%,1600 N Union Blvd,Colorado Springs,CO,80909,"1600 N Union Blvd, Colorado Springs, CO 80909",38.855473,-104.794276,
Holmes Middle,Tier 1,Middle,West,1968,80000000,36.60%,2455 Mesa Rd,Colorado Springs,CO,80904,"2455 Mesa Rd, Colorado Springs, CO 80904",38.867154,-104.857077,
Jenkins Middle,Tier 1,Middle,Northeast,1999,7000000,30.60%,6410 Austin Bluffs Pkwy,Colorado Springs,CO,80923,"6410 Austin Bluffs Pkwy, Colorado Springs, CO 80923",38.928411,-104.740544,
Mann Middle,Tier 1,Middle,Central,1957,7000000,36.20%,1001 E Van Buren St,Colorado Springs,CO,80907,"1001 E Van Buren St, Colorado Springs, CO 80907",38.868163,-104.805460,
North Middle,Tier 1,Middle,Central,1923,9000000,35.10%,612 E Yampa St,Colorado Springs,CO,80903,"612 E Yampa St, Colorado Springs, CO 80903",38.847662,-104.813819,
Russell Middle,Tier 1,Middle,Northeast,1971,9000000,39.10%,3825 E Montebello Dr,Colorado Springs,CO,80918,"3825 E Montebello Dr, Colorado Springs, CO 80918",38.904979,-104.757782,
Sabin Middle,Tier 1,Middle,Northeast,1975,7000000,32.60%,3605 N Carefree Cir,Colorado Springs,CO,80917,"3605 N Carefree Cir, Colorado Springs, CO 80917",38.882734,-104.751661,
Swigert Middle,Tier 1,Middle,Southeast,1967,9000000,37.20%,4220 E Pikes Peak Ave,Colorado Springs,CO,80909,"4220 E Pikes Peak Ave, Colorado Springs, CO 80909",38.834298,-104.750682,
West K-8,Tier 2,K-8,West,1923,3000000,31.90%,1920 W Pikes Peak Ave,Colorado Springs,CO,80904,"1920 W Pikes Peak Ave, Colorado Springs, CO 80904",38.842952,-104.853401,
Coronado High,Tier 1,High,West,1970,20000000,29.70%,1590 W Fillmore St,Colorado Springs,CO,80904,"1590 W Fillmore St, Colorado Springs, CO 80904",38.869391,-104.859247,
Doherty High,Tier 1,High,Northeast,1975,20000000,35.20%,4515 Barnes Rd,Colorado Springs,CO,80917,"4515 Barnes Rd, Colorado Springs, CO 80917",38.901200,-104.756500,Approximate — verify before plotting (Census geocoder no-match)
Mitchell High,Tier 1,High,Southeast,1965,15000000,27.40%,1205 Potter Dr,Colorado Springs,CO,80909,"1205 Potter Dr, Colorado Springs, CO 80909",38.849554,-104.752644,
Palmer High,Tier 1,High,Central,1940,150000000,28.80%,301 N Nevada Ave,Colorado Springs,CO,80903,"301 N Nevada Ave, Colorado Springs, CO 80903",38.838098,-104.821292,
RJWAC (Roy J. Wasson Academic Center),Tier 1,Alternative,Districtwide,N/A,8000000,—,2115 Afton Way,Colorado Springs,CO,80909,"2115 Afton Way, Colorado Springs, CO 80909",38.861004,-104.783832,
Academy ACL (Charter),Tier 3,Charter,Districtwide,N/A,,—,2510 N Chestnut St,Colorado Springs,CO,80907,"2510 N Chestnut St, Colorado Springs, CO 80907",38.868355,-104.836406,
CIVA Charter High,Tier 3,Charter,Districtwide,N/A,,—,4635 Northpark Dr,Colorado Springs,CO,80918,"4635 Northpark Dr, Colorado Springs, CO 80918",38.899178,-104.826706,
