precinct,bennet_pct,opp_pct,turnout_pct,votes_cast,registered
3,64.9,30.3,76.7,1382,1803
87,48.5,49.9,57.8,641,1110
88,64.2,31.1,76.0,1348,1774
89,53.1,44.4,63.1,821,1302
90,57.4,39.2,68.1,1012,1487
91,53.1,44.4,63.1,822,1304
92,59.4,36.9,70.3,1102,1568
93,47.1,51.5,56.2,589,1049
94,58.8,37.6,69.7,1076,1544
95,61.4,34.5,72.7,1202,1654
96,45.4,53.6,54.3,532,980
97,49.1,49.2,58.4,661,1133
99,57.0,39.7,67.6,993,1470
101,41.5,58.2,49.8,405,814
102,61.7,34.1,73.1,1220,1669
103,55.2,41.9,65.6,914,1394
104,55.7,41.3,66.1,934,1414
105,42.0,57.6,50.3,418,833
106,63.1,32.5,74.6,1287,1726
107,45.7,53.2,54.6,541,991
108,50.7,47.2,60.4,726,1203
109,56.1,40.8,66.6,952,1430
110,43.6,55.7,52.1,469,901
111,65.1,30.1,76.9,1391,1810
112,64.7,30.6,76.5,1372,1794
113,54.1,43.2,64.3,866,1347
114,65.3,29.8,77.2,1406,1822
115,52.7,44.9,62.6,805,1286
116,46.2,52.6,55.1,557,1011
117,44.7,54.4,53.4,506,948
118,63.2,32.3,74.7,1291,1729
119,61.1,34.8,72.3,1187,1642
120,65.3,29.8,77.2,1406,1822
121,40.1,59.9,48.1,362,753
122,52.3,45.3,62.2,790,1271
123,46.5,52.2,55.5,569,1026
124,46.9,51.8,55.9,581,1040
125,58.1,38.4,68.9,1043,1514
126,63.7,31.7,75.4,1321,1753
127,57.8,38.8,68.6,1031,1503
128,41.1,58.7,49.3,392,797
129,49.3,48.9,58.7,670,1143
130,57.3,39.4,68.0,1007,1482
131,47.7,50.8,56.8,609,1073
132,41.9,57.7,50.1,414,828
133,51.3,46.5,61.1,750,1229
134,59.7,36.5,70.8,1121,1584
135,52.1,45.6,61.9,779,1260
136,53.4,44.0,63.4,833,1315
137,49.7,48.4,59.2,686,1160
138,43.5,55.8,52.1,468,899
139,51.7,46.1,61.5,764,1243
140,40.3,59.6,48.4,369,763
141,43.9,55.3,52.5,480,915
142,63.4,32.1,75.0,1303,1738
143,58.9,37.5,69.8,1081,1550
144,41.1,58.7,49.3,392,796
145,60.5,35.6,71.7,1160,1618
146,59.9,36.3,71.0,1130,1592
147,56.9,39.9,67.4,985,1462
148,63.4,32.1,75.0,1305,1740
149,56.9,39.9,67.5,988,1464
150,59.9,36.3,71.0,1129,1591
151,49.8,48.3,59.3,689,1163
152,47.6,50.9,56.8,608,1071
153,45.9,53.0,54.8,547,999
154,48.0,50.5,57.3,624,1090
155,53.0,44.5,63.0,818,1299
156,43.3,56.1,51.8,460,889
157,49.1,49.2,58.5,662,1133
158,54.3,43.0,64.4,871,1353
159,51.1,46.8,60.8,741,1220
160,46.5,52.3,55.4,566,1023
161,54.7,42.5,64.9,889,1371
162,43.1,56.3,51.6,455,882
163,64.5,30.8,76.2,1360,1785
164,52.0,45.7,61.8,776,1256
165,60.2,35.9,71.4,1146,1606
166,43.9,55.3,52.6,481,916
167,60.1,36.0,71.2,1139,1600
168,60.8,35.2,72.0,1173,1630
169,40.1,59.9,48.2,363,755
170,48.6,49.7,57.9,644,1113
171,60.7,35.3,71.9,1169,1627
172,43.4,56.0,51.9,462,892
173,51.9,45.8,61.7,773,1253
174,49.5,48.7,58.9,676,1149
175,57.9,38.7,68.7,1035,1507
176,45.9,53.0,54.8,548,1000
177,44.0,55.2,52.6,482,918
178,40.2,59.8,48.2,364,756
179,49.2,49.0,58.7,669,1140
180,47.0,51.6,56.1,587,1047
181,57.9,38.7,68.6,1032,1505
182,40.6,59.3,48.7,377,776
183,50.0,48.1,59.5,697,1172
184,62.9,32.7,74.4,1278,1718
185,61.4,34.5,72.6,1200,1653
186,52.5,45.1,62.5,800,1280
187,65.0,30.2,76.9,1390,1808
188,50.6,47.4,60.3,723,1200
189,55.9,41.0,66.4,945,1424
190,53.9,43.4,64.1,858,1339
191,52.5,45.1,62.5,800,1280
192,47.1,51.5,56.2,590,1051
193,64.7,30.5,76.5,1373,1796
194,52.7,44.9,62.7,807,1288
195,63.6,31.9,75.3,1316,1749
196,51.9,45.8,61.8,774,1254
197,60.0,36.1,71.1,1135,1597
198,66.0,29.0,78.0,1441,1848
199,51.9,45.8,61.7,772,1252
201,49.0,49.3,58.4,661,1132
203,62.4,33.3,73.9,1255,1699
204,64.6,30.7,76.3,1365,1789
237,63.8,31.6,75.4,1323,1755
242,50.7,47.2,60.4,727,1204
243,41.1,58.7,49.3,392,797
246,57.0,39.7,67.6,993,1469
248,63.1,32.5,74.6,1286,1725
251,58.4,38.1,69.2,1057,1528
301,63.2,32.3,74.8,1296,1733
401,47.2,51.4,56.3,593,1055
402,42.2,57.4,50.5,424,841
404,49.1,49.2,58.5,663,1134
414,52.4,45.2,62.3,794,1276
415,56.5,40.3,67.1,972,1449
416,58.0,38.5,68.7,1037,1510
418,55.5,41.5,65.9,925,1405
422,63.4,32.1,75.0,1305,1740
602,42.8,56.7,51.2,443,866
609,53.4,44.0,63.4,833,1315
611,45.8,53.1,54.7,544,995
614,48.0,50.5,57.2,622,1088
619,53.0,44.5,63.0,817,1298
620,44.0,55.2,52.6,483,919
