precinct,harris_pct,trump_pct,turnout_pct,votes_cast,registered
3,55.9,42.1,68.3,963,1411
87,60.5,36.8,73.6,1183,1608
88,54.9,43.4,65.8,867,1318
89,67.6,29.0,79.0,1431,1812
90,58.1,40.1,66.7,901,1351
91,40.2,59.5,54.5,486,892
92,48.9,49.7,63.1,767,1216
93,60.6,36.5,75.1,1249,1664
94,61.8,35.3,75.0,1248,1664
95,55.0,43.3,66.0,873,1324
96,53.0,45.7,62.3,739,1187
97,53.7,45.1,61.7,716,1162
99,53.4,44.6,68.2,960,1409
101,51.3,47.3,63.0,764,1214
102,60.7,36.7,72.4,1133,1566
103,55.7,42.6,65.4,851,1302
104,52.9,46.0,60.8,687,1130
105,44.8,54.2,59.8,652,1091
106,55.4,42.3,70.5,1052,1493
107,53.9,44.2,67.4,929,1379
108,59.9,37.5,72.9,1154,1584
109,49.4,49.7,59.6,646,1084
110,53.3,45.4,62.6,748,1196
111,55.7,42.8,64.1,802,1252
112,65.4,30.7,83.4,1647,1975
113,46.3,52.7,60.1,663,1104
114,60.5,36.6,75.0,1245,1661
115,51.6,47.0,63.4,778,1228
116,49.6,49.4,59.8,651,1090
117,48.7,50.6,57.3,573,1000
118,69.9,26.6,80.2,1489,1857
119,51.7,46.3,67.7,938,1387
120,62.7,33.9,78.8,1422,1805
121,48.2,50.7,60.9,689,1132
122,68.8,27.3,83.1,1634,1967
123,69.6,26.6,82.6,1609,1949
124,62.0,35.4,72.6,1141,1573
125,63.1,34.3,72.5,1136,1567
126,46.1,52.7,61.2,700,1145
127,48.4,50.3,62.5,746,1195
128,48.8,50.0,61.6,715,1161
129,65.7,30.9,79.5,1455,1831
130,62.6,34.6,74.6,1229,1648
131,47.9,51.5,56.4,544,965
132,67.7,29.1,77.7,1370,1764
133,63.4,33.0,81.1,1531,1889
134,58.5,38.7,74.0,1202,1625
135,58.8,38.6,73.0,1159,1589
136,52.6,45.8,64.5,818,1269
137,58.7,39.0,70.2,1040,1482
138,57.3,40.8,67.2,921,1371
139,54.8,43.8,63.0,763,1212
140,63.7,32.6,81.4,1549,1903
141,51.5,46.7,66.0,874,1325
142,58.2,39.3,72.4,1132,1564
143,61.9,35.2,75.2,1256,1671
144,57.1,40.9,68.3,965,1413
145,49.8,49.4,58.7,616,1050
146,46.6,53.2,53.6,460,860
147,62.4,34.1,79.9,1474,1846
148,54.3,43.5,69.2,999,1445
149,61.8,35.1,76.5,1313,1717
150,52.1,46.4,64.0,799,1249
151,59.2,38.5,70.8,1064,1503
152,55.5,42.9,65.1,840,1291
153,62.2,35.4,71.4,1090,1528
154,44.7,54.3,59.7,649,1088
155,62.2,34.5,78.3,1398,1786
156,57.6,39.9,71.7,1103,1539
157,57.8,39.9,70.5,1051,1492
158,54.8,43.5,65.7,862,1313
159,56.6,41.6,66.5,892,1342
160,51.8,47.3,59.5,643,1081
161,46.5,52.3,61.7,717,1163
162,66.1,30.1,82.7,1613,1951
163,42.6,57.1,54.5,487,894
164,49.4,49.5,60.9,689,1133
165,52.7,45.9,63.3,773,1222
166,68.1,28.5,79.5,1455,1831
167,67.1,29.8,77.1,1341,1740
168,49.6,48.7,65.2,844,1295
169,46.1,52.9,59.8,653,1093
170,45.6,53.7,58.0,593,1024
171,66.4,30.1,80.3,1495,1862
172,53.4,45.1,64.1,803,1253
173,62.6,34.7,73.2,1168,1596
174,56.6,41.8,65.0,836,1287
175,50.4,47.8,66.2,882,1333
176,41.5,58.2,54.6,490,898
177,45.7,53.5,58.0,594,1025
178,54.7,43.4,67.0,913,1363
179,64.1,32.9,76.3,1305,1711
180,52.6,46.2,61.9,724,1170
181,63.3,34.1,72.7,1146,1577
182,56.3,41.1,73.0,1157,1586
183,58.4,38.9,73.9,1197,1621
184,57.0,40.6,71.0,1072,1511
185,42.9,56.9,53.4,456,854
186,43.8,56.1,53.2,449,845
187,49.8,49.4,58.6,612,1046
188,62.9,34.6,72.2,1124,1558
189,62.7,33.8,80.2,1490,1859
190,66.2,29.9,82.8,1619,1956
191,64.4,32.2,79.5,1454,1829
192,50.9,47.8,62.7,752,1200
193,62.1,35.1,74.1,1206,1628
194,69.0,27.4,80.5,1505,1870
195,56.9,41.4,65.4,850,1301
196,56.5,40.9,73.2,1166,1593
197,65.1,31.2,81.6,1557,1909
198,46.0,53.2,58.4,607,1040
199,58.9,38.6,71.8,1106,1541
201,60.1,37.6,70.4,1048,1489
203,61.2,35.5,78.5,1407,1793
204,45.1,54.1,58.8,619,1053
237,50.5,48.7,58.0,595,1026
242,69.1,27.1,82.1,1582,1928
243,56.3,41.9,66.1,877,1327
246,52.1,46.1,66.7,901,1352
248,48.6,50.4,60.0,660,1101
251,46.0,53.9,52.9,440,832
301,40.8,58.8,55.2,507,919
401,67.0,29.2,82.4,1598,1940
402,56.7,41.1,69.3,1002,1447
404,68.0,28.6,79.4,1451,1828
414,45.3,53.8,58.9,623,1059
415,59.7,37.5,74.0,1202,1625
416,61.0,36.2,74.2,1209,1630
418,45.9,53.8,54.2,478,882
422,47.9,51.0,60.6,679,1122
602,63.8,32.5,81.5,1552,1905
609,51.1,47.0,66.9,909,1359
611,58.0,39.5,72.1,1119,1553
614,60.0,37.7,70.2,1041,1483
619,47.0,52.2,58.2,600,1031
620,55.5,42.7,66.5,893,1343
626,49.1,49.8,60.6,678,1120
650,61.8,35.8,71.0,1073,1512
720,64.7,32.5,74.3,1216,1637
721,45.1,53.9,60.1,664,1105
723,61.5,35.5,76.1,1296,1704
724,45.4,54.1,56.3,540,960
725,44.6,55.1,54.1,474,878
740,52.9,45.8,62.2,733,1180
745,54.9,43.2,67.2,919,1369
747,48.5,50.9,57.2,568,994
748,69.2,27.4,79.4,1450,1827
901,59.0,38.9,69.1,995,1441
